#DaVis 8.4.0 2D-vector 12 171 171 "" "mm" "" "mm" "velocity" "m/s"
-115.946	-118.011	-4.62665e-005	1.40123e-005
-114.573	-118.011	-5.99746e-005	1.21552e-005
-113.2	-118.011	-7.80715e-005	7.75158e-005
-111.826	-118.011	-8.25139e-005	6.97445e-005
-110.453	-118.011	-8.7244e-005	9.15776e-005
-109.079	-118.011	-9.42883e-005	0.000124351
-107.706	-118.011	-9.10517e-005	0.000136916
-106.333	-118.011	-7.5734e-005	0.000133194
-104.959	-118.011	-6.35018e-005	0.000135614
-103.586	-118.011	-8.28979e-005	0.000181647
-102.212	-118.011	-9.53633e-005	0.000164974
-100.839	-118.011	-0.000124358	0.000186198
-99.4657	-118.011	-0.000127824	0.000140086
-98.0923	-118.011	-0.00012686	0.000174766
-96.7189	-118.011	-5.86344e-005	0.000158523
-95.3455	-118.011	-5.22459e-005	0.000196359
-93.9721	-118.011	-5.63085e-005	0.000213246
-92.5987	-118.011	-7.09969e-005	0.000211987
-91.2253	-118.011	-9.55801e-005	0.000196944
-89.8519	-118.011	-9.3743e-005	1.2733e-005
-88.4785	-118.011	-0.000122539	-1.74315e-005
-87.1052	-118.011	-0.000133756	-1.52738e-005
-85.7318	-118.011	-0.000126159	-3.14374e-007
-84.3584	-118.011	-0.000105989	3.56952e-005
-82.985	-118.011	-8.3308e-005	6.95553e-005
-81.6116	-118.011	-0.0001216	0.000133325
-80.2382	-118.011	-0.000150742	0.000211894
-78.8648	-118.011	-0.000145024	0.00020739
-77.4914	-118.011	-0.000127647	0.000181558
-76.1181	-118.011	-0.000110389	0.000147682
-74.7447	-118.011	-8.55671e-005	0.000117975
-73.3713	-118.011	-0.00011837	0.000162075
-71.9979	-118.011	-9.77982e-005	0.000183462
-70.6245	-118.011	-3.81739e-005	0.000162147
-69.2511	-118.011	2.28538e-005	0.000129765
-67.8777	-118.011	-1.43077e-005	0.000165977
-66.5043	-118.011	-1.27915e-007	0.000162017
-65.131	-118.011	4.99118e-005	0.00012586
-63.7576	-118.011	-1.5605e-006	0.000159623
-62.3842	-118.011	-6.28945e-006	0.000150605
-61.0108	-118.011	-5.77371e-005	0.00018343
-59.6374	-118.011	-4.53616e-005	0.000176973
-58.264	-118.011	-8.99902e-005	0.000207443
-56.8906	-118.011	-6.54054e-005	0.000190231
-55.5172	-118.011	-0.00010871	0.000225467
-54.1438	-118.011	-8.32716e-005	0.000203009
-52.7705	-118.011	-0.000131548	0.00024178
-51.3971	-118.011	-0.000124343	0.000206603
-50.0237	-118.011	0.00213489	-0.00255538
-48.6503	-118.011	0.00200098	-0.00240753
-47.2769	-118.011	0.00185846	-0.00225294
-45.9035	-118.011	0.00172448	-0.00207709
-44.5301	-118.011	0.0015896	-0.00189747
-43.1567	-118.011	0.00149484	-0.00166214
-41.7834	-118.011	0.00140139	-0.00142822
-40.41	-118.011	0.00130737	-0.00119793
-39.0366	-118.011	0.00121292	-0.00098205
-37.6632	-118.011	0.00111202	-0.000776816
-36.2898	-118.011	0.00101288	-0.000587365
-34.9164	-118.011	0.000900216	-0.000420657
-33.543	-118.011	0.0007751	-0.000277639
-32.1696	-118.011	0.000650226	-0.000148931
-30.7963	-118.011	0.000528277	-3.6242e-005
-29.4229	-118.011	0.000404855	5.54232e-005
-28.0495	-118.011	0.000284387	0.000125297
-26.6761	-118.011	0.000174648	0.000180328
-25.3027	-118.011	7.58637e-005	0.000228877
-23.9293	-118.011	-1.69377e-005	0.000267249
-22.5559	-118.011	-0.00011376	0.000283369
-21.1825	-118.011	-0.000208514	0.000289269
-19.8091	-118.011	-0.000301609	0.000291273
-18.4358	-118.011	-0.000389892	0.000290484
-17.0624	-118.011	-0.000469332	0.000288171
-15.689	-118.011	-0.0005359	0.000282028
-14.3156	-118.011	-0.000586905	0.000273115
-12.9422	-118.011	-0.000622775	0.000263203
-11.5688	-118.011	-0.000646484	0.000253593
-10.1954	-118.011	-0.000660752	0.000243768
-8.82204	-118.011	-0.000668929	0.000233099
-7.44866	-118.011	-0.000672833	0.000220627
-6.07527	-118.011	-0.000672645	0.000206059
-4.70188	-118.011	-0.000667644	0.000190063
-3.32849	-118.011	-0.00065662	0.000174037
-1.9551	-118.011	-0.000638468	0.000159703
-0.581715	-118.011	-0.000612422	0.000148508
0.791673	-118.011	-0.000578416	0.000141315
2.16506	-118.011	-0.000537343	0.000138199
3.53845	-118.011	-0.000491319	0.000138383
4.91184	-118.011	-0.000443478	0.000140487
6.28522	-118.011	-0.000397258	0.000143007
7.65861	-118.011	-0.000355218	0.000144868
9.032	-118.011	-0.000318512	0.000145877
10.4054	-118.011	-0.000286756	0.000146887
11.7788	-118.011	-0.000258687	0.000148832
13.1522	-118.011	-0.000233227	0.00015263
14.5256	-118.011	-0.000209516	0.000158926
15.8989	-118.011	-0.000187551	0.000166783
17.2723	-118.011	-0.000167267	0.00017508
18.6457	-118.011	-0.00014841	0.00018263
20.0191	-118.011	-0.000130836	0.000187044
21.3925	-118.011	-0.000113753	0.000187977
22.7659	-118.011	-9.72604e-005	0.000187146
24.1393	-118.011	-7.90655e-005	0.000186348
25.5127	-118.011	-5.55284e-005	0.0001893
26.886	-118.011	-3.36098e-005	0.000191009
28.2594	-118.011	-1.25795e-005	0.000198723
29.6328	-118.011	8.23965e-006	0.000217764
31.0062	-118.011	4.01719e-005	0.000251793
32.3796	-118.011	7.7874e-005	0.000295645
33.753	-118.011	0.000121074	0.000349397
35.1264	-118.011	0.000166533	0.0004062
36.4998	-118.011	0.00021608	0.00046575
